date,APMC,CommodityId,min_price,max_price,modal_price,arrivals_in_qtl
2016-03-01,Sangali,2,1858,2781,2504,17306
2015-05-01,Sangali,2,1606,3072,2339,7553
2016-05-01,Sangali,2,1851,2792,2400,8828
2014-11-01,Sangali,2,1660,2805,2238,7133
2015-11-01,Sangali,2,1720,3005,2670,6428
2014-10-01,Sangali,2,1611,2822,2261,7517
2015-10-01,Sangali,2,1696,2980,2648,7207
2016-10-01,Sangali,2,1903,2792,2437,9034
2014-09-01,Sangali,2,1625,2779,2202,8218
2015-09-01,Sangali,2,1650,3000,2578,6405
2016-09-01,Sangali,2,1900,2809,2459,9999
2016-11-01,Sangali,2,1940,2869,2492,10523
2015-04-01,Umared,2,1500,2157,1821,9772
2016-04-01,Umared,2,1525,2244,1925,8338
2015-08-01,Umared,2,1500,2000,1620,1115
2016-08-01,Umared,2,1600,2250,1983,853
2014-12-01,Umared,2,1500,1814,1657,2588
2015-12-01,Umared,2,1513,2025,1625,2973
2015-02-01,Umared,2,1500,2071,1786,1608
2016-02-01,Umared,2,1600,2197,1713,1687
2015-01-01,Umared,2,1500,1825,1663,1839
2016-01-01,Umared,2,1586,2086,1686,1480
2015-07-01,Umared,2,1475,2269,1575,1641
2016-07-01,Umared,2,1625,2331,2000,1188
2015-06-01,Umared,2,1475,2088,1663,2156
2016-06-01,Umared,2,1600,2358,2011,3375
2015-03-01,Umared,2,1500,2060,1780,1292
2016-03-01,Umared,2,1586,2221,1700,3071
2015-05-01,Umared,2,1500,2183,1842,7432
2016-05-01,Umared,2,1600,2320,2020,3028
2014-11-01,Umared,2,1500,1813,1656,3291
2015-11-01,Umared,2,1500,2000,1600,1301
2014-10-01,Umared,2,1500,1950,1725,2435
2015-10-01,Umared,2,1500,1913,1600,3325
2016-10-01,Umared,2,1600,2206,2000,1439
2014-09-01,Umared,2,1500,1844,1672,2807
2015-09-01,Umared,2,1500,2060,1600,1316
2016-09-01,Umared,2,1600,2279,2000,1053
2016-11-01,Umared,2,1600,2313,1981,1593
2015-04-01,Bhusaval,3,1098,1195,1155,189
2016-04-01,Bhusaval,3,1391,1410,1394,85
